cooperative,common,V1,V2,thetad_V1_V2,degree_common,degree_V1,degree_V2,score,quantile,paralog,common_length,V1_length,V2_length,average_V1_V2
0,P35346,P30874,P30872,3.510565529,7,7,3,0.522,4,yes,364,369,391,380
0,Q92813,Q9Y6I7,P62253,1.8248399,5,9,4,0.522,4,no,273,421,170,295.5
0,P01571,Q8IVU9,Q9NXT0,4.642591242,6,3,2,0.522,4,no,189,208,402,305
0,O95671,P48775,Q8N1V2,3.569283149,8,10,6,0.52,4,no,621,406,620,513
0,Q6UWW0,Q6NS38,Q9NV35,1.987355194,7,6,3,0.52,4,no,184,261,164,212.5
0,Q00G26,O14682,Q86UD0,1.082483265,6,8,6,0.518,4,no,463,589,394,491.5
0,O95864,Q8TBZ0,Q5T871,2.979851593,8,5,1,0.518,4,no,444,833,98,465.5
0,Q00169,O95977,Q8NB16,3.299239788,9,4,10,0.518,4,no,270,384,471,427.5
0,Q9Y696,Q96NY7,Q9NZA1,4.279468449,7,2,6,0.516,4,yes,253,704,410,557
0,O75437,Q07973,Q96JC4,2.678083439,6,4,1,0.516,4,no,659,514,524,519
0,Q96F85,Q96H35,O75594,5.891300804,9,6,2,0.516,4,no,164,190,196,193
0,P21754,Q05996,P60852,3.238574265,7,2,1,0.516,4,yes,424,745,638,691.5
0,Q9NPJ8,Q7Z6K3,Q96D03,2.193498088,10,7,8,0.516,4,no,142,402,193,297.5
0,P50747,Q96BZ9,Q5T0L3,1.64295393,9,3,9,0.514,4,no,726,403,261,332
0,P0DMN0,Q9BR01,P50226,2.069644583,6,9,7,0.514,4,yes,295,284,295,289.5
0,Q96EK6,P07148,O95221,1.833344357,7,5,7,0.514,4,no,184,127,314,220.5
0,Q16890,Q96J77,Q96A70,0.731848368,8,7,10,0.514,4,no,204,140,460,300
0,Q8IXL7,Q92564,P02753,3.904461449,10,7,10,0.514,4,no,192,292,201,246.5
0,O60543,Q96AQ7,Q9UHD4,1.669741158,6,3,4,0.514,4,yes,219,238,219,228.5
0,Q9NPR2,Q96PD2,Q8WTP8,2.154793988,2,10,9,0.514,4,no,837,775,325,550
0,O43914,O95944,O00241,4.086239477,9,3,2,0.512,4,no,113,276,398,337
0,O43914,O95944,Q14953,4.085879037,9,3,2,0.512,4,no,113,276,304,290
0,P60369,Q8N393,Q13875,0.883941154,9,9,5,0.512,4,no,221,782,183,482.5
0,Q969L2,Q16890,Q05329,1.353479747,9,8,6,0.512,4,no,176,204,585,394.5
0,Q53T59,Q8N961,Q9Y3Q3,2.569750238,7,9,10,0.512,4,no,392,1025,217,621
0,Q96EK6,P07148,Q92781,1.872536913,7,5,3,0.51,4,no,184,127,318,222.5
0,P20393,Q14995,Q96A44,3.288653072,9,10,8,0.51,4,no,614,579,273,426
0,O60894,O15432,Q16602,2.519895886,2,8,7,0.51,4,no,148,143,461,302
0,Q16890,Q969L2,Q96A70,0.426421476,8,9,10,0.51,4,no,204,176,460,318
0,O43745,Q9UBY0,P48764,2.515130068,5,7,8,0.51,4,yes,196,812,834,823
0,P60369,Q8N393,Q9BR84,0.882324769,9,9,4,0.51,4,no,221,782,538,660
0,P28161,P09488,P46439,1.945331857,4,6,7,0.51,4,yes,218,218,218,218
0,O43914,O95944,Q5TFQ8,4.085964938,9,3,2,0.508,4,no,113,276,398,337
0,P04003,P07225,P02743,1.220514736,7,9,10,0.508,4,no,597,676,223,449.5
0,Q8HWS3,P48378,O43559,0.747034924,9,9,10,0.508,4,no,928,723,492,607.5
0,Q8IZU9,Q9Y3C8,Q9Y6X6,3.298892805,7,7,4,0.508,4,no,778,167,1858,1012.5
0,Q8IVA1,Q9H6F2,P10153,3.822644402,7,6,2,0.508,4,no,136,299,161,230
0,Q9BW62,Q14061,P26885,0.422051727,8,6,10,0.508,4,no,490,63,142,102.5
0,Q5BKY1,P85298,Q7L5Y1,0.651643413,5,7,2,0.508,4,no,277,464,443,453.5
0,Q9NWS6,Q70IA8,Q96BJ3,2.892808341,7,4,9,0.504,4,no,357,216,306,261
0,O14682,Q00G26,Q9H0H3,3.612897703,8,6,6,0.504,4,no,589,463,589,526
0,P21754,P10323,P60852,3.238568096,7,6,1,0.504,4,no,424,421,638,529.5
0,Q96SZ5,P78508,Q9UDV6,3.251918846,6,10,10,0.504,4,no,270,379,495,437
0,Q9UPQ7,O15146,Q9ULV1,3.081317984,10,7,3,0.502,4,no,1066,869,537,703
0,Q9NPJ8,Q96D03,P57771,5.955230843,10,8,4,0.502,4,no,142,193,180,186.5
0,O00230,P32745,P31391,3.510516328,6,3,2,0.5,4,yes,105,418,388,403
0,Q9BQC3,Q96FX2,Q6P3W2,2.650672002,9,5,1,0.5,4,no,489,82,149,115.5
0,P09488,P28161,P14920,1.94517404,6,4,4,0.5,4,no,218,218,347,282.5
0,Q9BRL7,P16219,P18510,3.454429702,7,8,10,0.5,4,no,303,412,177,294.5
0,Q9UDV6,Q6NUN9,Q96SZ5,4.318112832,10,10,6,0.5,4,no,495,644,270,457
0,P0DMN0,Q15777,P50225,3.207197652,6,8,8,0.498,4,no,295,294,295,294.5
0,O15432,O60894,P41146,2.519843237,8,2,5,0.498,4,no,143,148,370,259
0,Q8N6V9,O94818,Q8NFR7,3.605415066,7,7,6,0.498,4,no,391,638,591,614.5
0,P17927,P11226,P20023,0.983716703,6,10,8,0.498,4,no,2039,248,1033,640.5
0,P16109,P25063,Q14242,0.354302209,8,3,5,0.498,4,no,830,80,412,246
0,P21754,P10323,O14917,3.235696265,7,6,8,0.498,4,no,424,421,1159,790
0,Q96FZ7,Q6DKJ4,Q9H0T7,1.060085075,10,7,7,0.498,4,no,201,435,212,323.5
0,Q07654,O15535,Q04828,5.097740505,3,7,7,0.496,4,no,80,394,323,358.5
0,O76036,P27918,P30273,2.758421753,5,10,4,0.496,4,no,304,469,86,277.5
0,Q9UDV6,Q6NUN9,Q9UM22,4.214378234,10,10,10,0.496,4,no,495,644,224,434
0,Q9UDV6,Q6NUN9,Q9UDV7,4.317941017,10,10,3,0.496,4,no,495,644,671,657.5
0,P0DMM9,Q15777,P50225,3.207197652,6,8,8,0.494,4,no,295,294,295,294.5
0,Q92874,Q9NTI7,Q86YI8,2.789136341,10,4,3,0.494,4,no,299,297,300,298.5
0,Q8N961,Q53T59,Q9BV47,5.155380953,9,7,5,0.494,4,no,1025,392,211,301.5
0,P13725,Q49AR2,Q99650,1.534356204,9,5,8,0.494,4,no,252,442,979,710.5
0,P32942,Q8TF32,P20701,1.476029833,7,5,10,0.494,4,no,547,576,1170,873
0,P32942,Q13349,Q8TF32,1.474186094,7,3,5,0.494,4,no,547,1161,576,868.5
0,P20366,Q03403,P21452,1.17635452,7,2,2,0.494,4,no,129,129,398,263.5
0,Q15669,P52566,Q99819,2.372107583,10,9,5,0.492,4,yes,191,201,225,213
0,Q6ZPD9,O95428,P27918,2.550224023,7,8,10,0.492,4,no,716,1278,469,873.5
0,Q6ZPD9,O95428,Q9UBN1,1.815794103,7,8,8,0.492,4,no,716,1278,327,802.5
0,Q00169,Q92859,O95977,0.498679569,9,8,4,0.492,4,no,270,1461,384,922.5
0,Q86UD0,Q00G26,P10645,2.530182478,6,6,3,0.492,4,no,394,463,457,460
0,P78508,Q6PL24,Q9NPI9,1.884411666,10,7,1,0.492,4,no,379,325,418,371.5
0,P16219,Q9BRL7,Q6ZMV9,3.454418526,8,7,6,0.492,4,no,412,303,814,558.5
0,Q9H4Z3,Q9BQ61,P52945,2.72163706,10,9,3,0.492,4,no,704,176,283,229.5
0,Q9BW62,P26885,Q9H079,1.79553907,8,10,6,0.492,4,no,490,142,304,223
0,Q5T0L3,A2RUC4,P50747,3.841707173,9,8,9,0.49,4,no,261,315,726,520.5
0,O14896,P18428,Q6ZN30,3.067601039,4,5,2,0.49,4,no,467,481,1099,790
0,P27918,O76036,Q6ZPD9,2.758055634,10,5,7,0.49,4,no,469,304,716,510
0,P30874,P35346,P32745,3.510554597,7,7,3,0.49,4,yes,369,364,418,391
0,O43525,Q9NR82,O43526,1.510696125,5,10,7,0.488,4,yes,872,932,872,902
0,Q14721,O95259,Q8TAE7,1.8299458,9,5,1,0.488,4,no,858,989,436,712.5
0,P50747,Q7Z402,Q86XM0,2.246351789,9,5,1,0.486,4,no,726,723,798,760.5
0,P48378,Q8HWS3,Q9UKT7,3.974333892,9,9,8,0.486,4,no,723,928,428,678
0,Q9P0Z9,O75362,Q96EB1,2.92912566,7,9,10,0.486,4,no,390,1048,424,736
0,Q9UHY8,Q6ZMV9,O95661,3.516679172,8,6,6,0.486,4,no,353,814,229,521.5
0,Q6ZPD9,O95428,Q9BXY4,1.093383552,7,8,4,0.486,4,no,716,1278,272,775
0,P00742,P10646,P12259,1.53482061,7,4,8,0.486,4,no,488,304,2224,1264
0,Q6ZW76,Q86SG6,Q9HAH1,1.646264566,7,9,9,0.486,4,no,656,692,456,574
0,Q12829,Q96S21,Q5H9S7,0.495903337,9,7,5,0.486,4,no,278,281,520,400.5
0,Q9BR01,P0DMM9,Q8TAM6,2.617979094,9,6,1,0.486,4,no,284,295,284,289.5
0,Q9BR01,P0DMN0,Q8TAM6,2.618307165,9,6,1,0.486,4,no,284,295,284,289.5
0,Q9UMR3,Q86YI8,Q9BQT8,3.00654073,7,3,3,0.486,4,no,447,300,299,299.5
0,A2RUC4,Q5T0L3,Q8TCB7,1.938625944,8,9,8,0.484,4,no,315,261,284,272.5
0,Q86UL8,O00548,P01135,1.853907929,10,5,10,0.484,4,no,1455,723,160,441.5
0,Q9NU23,Q9NWU1,P16219,1.257596311,6,7,8,0.484,4,no,88,459,412,435.5
0,O15432,O60894,O60895,2.519706787,8,2,2,0.484,4,yes,143,148,175,161.5
0,Q96GW9,P31994,Q8N3J3,4.324198245,10,8,6,0.484,4,no,593,310,647,478.5
0,P01213,P31025,P01210,2.608022806,5,9,8,0.484,4,no,254,176,267,221.5
0,Q9UF33,P52798,P04070,1.829412563,4,5,10,0.484,4,no,1036,201,461,331
0,Q8TF32,P32942,P17643,3.404396084,5,7,2,0.484,4,no,576,547,537,542
0,Q9BSW2,Q8NEM0,Q5W041,2.634567095,8,10,2,0.484,4,no,731,835,872,853.5
0,P50747,Q7Z402,O00763,2.246368035,9,5,6,0.482,4,no,726,723,2458,1590.5
0,O60895,Q16602,O15432,2.519895886,2,7,8,0.482,4,no,175,461,143,302
0,Q9Y6H5,Q9Y5A7,O60229,1.006016293,10,10,7,0.482,4,no,919,615,2986,1800.5
0,Q86T13,Q7Z7A4,Q96B96,1.531435161,5,10,5,0.482,4,no,490,578,161,369.5
0,Q8IWA6,O00488,Q9H8W3,2.901099535,6,10,3,0.482,4,no,550,134,233,183.5
0,O00187,Q15485,O43897,1.952590678,9,7,5,0.48,4,no,686,313,1013,663
0,P50225,Q9BR01,O00338,2.63788494,8,9,9,0.48,4,yes,295,284,296,290
0,P80404,P07306,Q8IWY8,1.873254018,5,4,10,0.478,4,no,500,291,852,571.5
0,P21754,P10323,Q8IXA5,3.238630889,7,6,6,0.478,4,no,424,421,215,318
0,Q6ZPD9,O95428,P13671,2.549822641,7,8,4,0.476,4,no,716,1278,934,1106
0,Q6ZPD9,Q9BXY4,P27918,1.456840471,7,4,10,0.476,4,no,716,272,469,370.5
0,P01571,Q6UWD8,P01569,2.92520874,6,3,10,0.476,4,no,189,224,189,206.5
0,O00187,Q15485,P0C0L5,1.952455709,9,7,3,0.474,4,no,686,313,1744,1028.5
0,P51857,Q04828,O95057,3.003248819,8,7,6,0.474,4,no,326,323,198,260.5
0,P48546,P09681,P01275,1.684199057,2,7,4,0.474,4,no,466,153,180,166.5
0,Q70IA8,Q9NWS6,Q8IVU9,1.718425947,4,7,3,0.474,4,no,216,357,208,282.5
0,P35346,P21554,P30872,1.961194815,7,7,3,0.472,4,no,364,472,391,431.5
0,P21728,P30542,Q9NYX4,1.749071127,7,9,4,0.472,4,no,446,326,217,271.5
0,Q9NS61,Q9UK17,Q9BRK0,1.58960178,9,3,5,0.472,4,no,270,655,252,453.5
0,Q8TCW7,P31997,Q5VZK9,2.335656691,10,3,10,0.472,4,no,415,349,1371,860
0,Q53GG5,Q8TDC0,Q86TC9,4.135485051,9,4,7,0.472,4,no,364,251,1320,785.5
0,O00230,P02144,P31391,2.249221445,6,2,2,0.47,4,no,105,154,388,271
0,O60896,Q16602,O15432,2.519895886,3,7,8,0.47,4,no,148,461,143,302
0,Q7Z3Y8,Q12934,O95995,1.190630374,8,9,3,0.47,4,no,459,665,478,571.5
0,O95872,Q52MB2,Q9NZH6,2.779403459,10,8,7,0.47,4,no,356,194,218,206
0,Q9BXY4,Q6ZPD9,Q9ULT6,1.45634122,4,7,7,0.47,4,no,272,716,936,826
0,P20366,Q03403,P29371,1.17643694,7,2,2,0.47,4,no,129,129,465,297
0,Q16602,O60896,P01258,2.52006121,7,3,1,0.468,4,no,461,148,141,144.5
0,P42330,P51857,P17516,3.003241261,6,8,3,0.468,4,yes,323,326,323,324.5
0,P01571,Q8IVU9,Q6UWD8,1.717386423,6,3,3,0.468,4,no,189,208,224,216
0,Q92686,Q9BVG3,A8K855,1.882105348,9,6,7,0.468,4,no,78,475,629,552
0,Q8TDB8,Q6P4I2,P11169,0.264826857,6,5,4,0.468,4,no,520,378,496,437
0,P17787,P43681,P30532,2.110251584,3,3,7,0.468,4,yes,502,627,468,547.5
0,Q8N6V9,O94818,Q8NEF3,3.299133969,7,7,10,0.466,4,no,391,638,446,542
0,Q8IVA1,Q5W186,P37058,2.22083942,7,4,7,0.466,4,no,136,159,310,234.5
0,P20366,Q03403,Q86UU9,1.429415705,7,2,1,0.466,4,no,129,129,113,121
0,Q9HBU9,Q9ULQ1,Q8TDW0,0.540714234,8,7,7,0.466,4,no,364,816,803,809.5
0,P50747,Q7Z402,Q5T0L3,0.350714806,9,5,9,0.464,4,no,726,723,261,492
0,P21941,P20849,O15232,1.529669302,6,7,8,0.464,4,no,496,921,486,703.5
0,Q9GZN7,Q9Y485,Q9Y4E6,2.360690404,10,7,5,0.464,4,no,287,3027,1490,2258.5
0,Q9UGC7,P36222,Q9Y5R4,0.422138314,9,9,5,0.464,4,no,380,383,338,360.5
0,Q96A70,Q9NZC9,Q16890,1.813608965,10,8,8,0.464,4,no,460,954,204,579
0,Q9HB29,O75061,O00160,2.70873592,5,7,10,0.462,4,no,575,913,1098,1005.5
0,Q8WWH5,Q96DP5,P11168,3.026895723,6,5,3,0.462,4,no,349,389,524,456.5
0,P51687,Q6UWW8,Q5MJ09,2.471479862,7,6,7,0.462,4,no,545,571,141,356
0,O60303,Q9H079,P20794,3.032586065,6,6,5,0.46,4,no,1618,304,623,463.5
0,O00187,O75636,P11226,1.953157268,9,4,10,0.46,4,no,686,299,248,273.5
0,Q04828,P51857,Q07654,3.003277857,7,8,3,0.46,4,no,323,326,80,203
0,P16233,Q9HBU6,Q6DD87,1.884131801,8,8,4,0.46,4,no,465,452,382,417
0,P0DMN0,Q15777,Q9BR01,0.589149989,6,8,9,0.458,4,no,295,294,284,289
0,Q86UL8,O00548,O75783,1.855273545,10,5,4,0.458,4,no,1455,723,438,580.5
0,Q00G26,Q05469,Q86UD0,1.436442677,6,8,6,0.458,4,no,463,1076,394,735
0,Q16890,Q969L2,Q96J77,0.305426892,8,9,7,0.458,4,no,204,176,140,158
0,P21854,Q92854,Q96LC7,2.785190382,8,8,5,0.458,4,no,359,862,697,779.5
0,Q4G0X4,Q14183,Q9P2G3,2.861833972,10,9,8,0.458,4,no,260,400,628,514
0,P21728,P30542,P35462,1.894941673,7,9,10,0.456,4,no,446,326,400,363
0,Q96T59,Q9Y4K4,Q8WV74,2.016709241,6,9,8,0.456,4,no,188,846,236,541
0,Q92874,Q9UMR3,Q9NTI7,0.217373605,10,7,4,0.456,4,no,299,447,297,372
0,O76014,Q14533,Q7RTS7,1.644281255,3,10,1,0.456,4,yes,449,505,529,517
0,Q9GZU5,O95372,Q5W111,1.340712938,10,8,5,0.456,4,no,476,231,196,213.5
0,P20701,P32942,Q9NQ30,1.928380424,10,7,1,0.456,4,no,1170,547,184,365.5
0,Q9Y4K4,Q96T59,Q8IVH8,2.01680988,9,6,8,0.456,4,no,846,188,894,541
0,Q05329,Q969L2,Q96B96,1.207030096,6,9,5,0.456,4,no,585,176,161,168.5
0,Q93088,Q9H2M3,Q8N565,1.750503216,3,3,7,0.456,4,no,406,363,214,288.5
0,P0DMM9,Q15777,Q9BR01,0.589149989,6,8,9,0.454,4,no,295,294,284,289
0,Q9H0H3,Q96A84,O14682,0.423566281,6,4,8,0.454,4,no,589,441,589,515
0,P21728,Q6Y2X3,P35462,1.900908849,7,4,10,0.454,4,no,446,702,400,551
0,Q9NS61,Q9NZI2,Q9BRK0,1.589612603,9,4,5,0.454,4,no,270,227,252,239.5
0,Q8NAU1,P38405,Q03393,1.726137773,9,10,9,0.454,4,no,212,381,145,263
0,Q9NYD6,O75648,Q9NRS6,0.665176215,7,6,7,0.454,4,no,342,421,342,381.5
0,P33260,Q9NX78,P11712,1.515166412,3,6,7,0.454,4,no,490,707,490,598.5
0,Q9BR01,P50225,Q8TAM6,2.618079419,9,8,1,0.454,4,no,284,295,284,289.5
0,P35346,P21554,P31391,1.961157017,7,7,2,0.452,4,no,364,472,388,430
0,Q9NYA1,Q96S38,Q2M3C7,2.254958158,10,5,3,0.452,4,no,384,1066,1700,1383
0,Q05469,Q99541,Q00G26,1.386593983,8,3,6,0.452,4,yes,1076,437,463,450
0,Q16602,O60896,O60894,2.519932538,7,3,2,0.452,4,yes,461,148,148,148
0,P08697,P07477,P20151,1.54922376,5,6,7,0.452,4,no,491,247,261,254
0,P02042,P02008,P09105,1.508348939,8,10,3,0.452,4,yes,147,142,142,142
0,P28330,Q6ZMR5,Q8N9I0,2.479040451,5,6,5,0.452,4,no,430,418,419,418.5
0,Q8IVA1,Q5W186,Q9H6F2,1.817607991,7,4,6,0.452,4,no,136,159,299,229
0,Q99578,Q01959,Q01851,1.57536162,9,10,3,0.452,4,no,217,620,419,519.5
0,Q14721,O95259,Q8TDN2,1.135551734,9,5,4,0.452,4,no,858,989,545,767
0,Q9BY49,Q5T8I9,Q8NAT1,1.977868771,10,8,10,0.452,4,no,303,393,580,486.5
0,Q8IYS1,P53370,P60022,0.34257063,7,10,8,0.45,4,no,436,316,68,192
0,Q9H0T7,Q9NZB8,Q96FZ7,1.076864007,7,10,10,0.45,4,no,212,636,201,418.5
0,Q9BY49,Q5T8I9,P31025,1.978386318,10,8,9,0.45,4,no,303,393,176,284.5
0,P02008,P02042,P02100,2.916897538,10,8,4,0.448,4,yes,142,147,147,147
0,Q5T754,O14633,P60328,1.536925561,2,5,3,0.448,4,no,118,110,96,103
0,O95190,P11926,Q96A70,3.319645602,4,7,10,0.448,4,yes,189,461,460,460.5
0,Q96D03,Q9NPJ8,Q96PN8,1.900393713,8,10,8,0.448,4,no,193,142,268,205
0,P00742,P10646,Q9UK55,1.535009935,7,4,6,0.448,4,no,488,304,444,374
0,P24158,P11215,P24001,3.255218969,3,10,5,0.448,4,no,256,1152,234,693
0,P31997,Q8TCW7,P40199,1.836978727,3,10,3,0.448,4,no,349,415,344,379.5
0,Q03403,P20366,Q96PJ5,1.429544041,2,7,5,0.448,4,no,129,129,515,322
0,Q16821,O60927,P26678,1.281131458,6,9,8,0.448,4,no,1122,126,52,89
0,Q86UR1,Q53HV7,Q9Y5S8,2.434584823,6,4,4,0.448,4,no,476,270,564,417
0,P50747,Q5T0L3,O00763,1.895653229,9,9,6,0.446,4,no,726,261,2458,1359.5
0,Q9NTJ4,O43247,Q86Y33,1.151660794,7,5,10,0.446,4,no,1040,280,519,399.5
0,Q86UF1,Q5EBL8,Q9BVX2,1.408192352,7,8,4,0.446,4,no,283,140,250,195
0,Q05469,O60240,Q00G26,1.386213772,8,4,6,0.446,4,yes,1076,522,463,492.5
0,Q2M3C7,Q9NYA1,Q9Y3B1,1.632406545,3,10,4,0.446,4,no,1700,384,194,289
0,Q969J5,Q96DN5,Q9GZX6,1.124933879,2,8,3,0.446,4,no,263,1066,179,622.5
0,Q92874,Q9NTI7,Q9BQT8,0.217404389,10,4,3,0.444,4,no,299,297,299,298
0,P11215,P24158,Q9BX67,0.259650175,10,3,8,0.444,4,no,1152,256,310,283
0,Q00G26,Q05469,O14682,2.518925942,6,8,8,0.442,4,no,463,1076,589,832.5
0,P09758,O95471,Q9UNU6,0.92378782,5,5,5,0.442,4,no,323,211,501,356
0,Q9NNX6,P28222,Q9H2X3,0.975641139,6,9,6,0.442,4,no,404,390,399,394.5
0,Q9BW62,P26885,Q9UC07,1.068699139,8,10,2,0.442,4,no,490,142,566,354
0,P35346,P21554,O00230,1.961163917,7,7,6,0.44,4,no,364,472,105,288.5
0,Q9NX02,Q9P021,P59047,1.592453076,9,8,7,0.44,4,no,1062,101,1200,650.5
0,O95190,P11926,O14977,1.303511308,4,7,9,0.44,4,yes,189,461,448,454.5
